tweetid,screen_name,date,lang,text,state,friends_count,followers_count
1220518487845752832,BioAndBaseball,Fri Jan 24 01:27:38 +0000 2020,en,China Halts Transportation Out Of Wuhan To Contain #Coronavirus. Could It Backfire? https://t.co/BaoTnouN7a,,2849,3214
1301875815882412032,HelenBranswell,Fri Sep 04 13:32:36 +0000 2020,en,Interesting #Covid19 vaccine development: Scientists from Russia's Gamaleya Institute publish data on their... controversial vaccine in @thelancet. Phase 1/2; 76 volunteers; no placebo arm. Vaccine was licensed based on this work.  https://t.co/LLShYucK6c,MA,2079,225280
1326359181813755904,MoNscience,Wed Nov 11 03:00:46 +0000 2020,en,Followers of this space might recall that I posed some serious questions yesterday about Pfizer's COVID-19 vaccine announcement.   Welp; @SarahE_Richards dug up the answers for @NatGeo   Let's dive in...  https://t.co/9AVXhAfRVO,,4467,13549
1337244117353508864,JoeBrunoWSOC9,Fri Dec 11 03:53:37 +0000 2020,en,Bishop who battled COVID-19 says he thought God would protect him from catching virus https://t.co/xCi5jaPZSl,NC,4017,48909
1341752506242785280,dvergano,Wed Dec 23 14:28:20 +0000 2020,en,"What do we believe in? Rumors and processing strategies during the COVID-19 outbreak in China" - https://t.co/cmebqgL08o   "Systematic processing strategies such as fact-checking and discussing with family and friends were seldom used.",DC,1801,18517
1382829830777958400,EricTopol,Thu Apr 15 22:54:58 +0000 2021,en,Risk of covid reinfection in a prospective study of &gt;3;000 Marine recruits Prior covid: 82% reduced compared w/ no prior covid (+ when reinfections occurred; much less viral loads) Protection correlated w/ higher spike IgG antibody levels https://t.co/7Jl154lwDX @LancetRespirMed https://t.co/xKVLKm8AA6,CA,556,686676
1395752514222530560,ghn_news,Fri May 21 14:45:05 +0000 2021,en,Tunisia has ended its 1-week lockdown; despite having Africa’s highest reported #COVID19 numbers: more than 320;000 infections and nearly 12;000 deaths.   https://t.co/adodFkb4yC,MD USA,2268,16655
1236456047403040768,Laurie_Garrett,Sun Mar 08 00:57:48 +0000 2020,en,So far the #SARCoV2 strains found in the US all map to China; but from 3 separate locations &amp; entry events to USA. We will soon discover #COVID19 is all over the US; has been here for wks; via multiple entries. So much for airports "keeping the virus out." https://t.co/RESo26spgV https://t.co/342vV3cvT3,NY,1851,244316
1276140233822818304,CarlosdelRio7,Thu Jun 25 13:08:35 +0000 2020,en,The coronavirus surge is real; and it's everywhere https://t.co/yFpYqVA5Di. The US cases are up 30% and most of the country is seeing an increase in cases.  The vacuum of political leadership is simply unacceptable.,GA,1569,56698
1277053030916030464,CarlosdelRio7,Sun Jun 28 01:35:43 +0000 2020,en,See How All 50 States Are Reopening (and Closing Again) - The chaotic and disorderly way in which states relaxed restrictions has comes back to hurt us.  Infections are at an all time high and so will be hospitalization &amp; deaths.  Time to be thoughtful.  https://t.co/Bcn30FdqUw,GA,1569,56698
