tweetid,screen_name,date,lang,text,friends_count,followers_count
1301875815882412032,HelenBranswell,Fri Sep 04 13:32:36 +0000 2020,en,Interesting #Covid19 vaccine development: Scientists from Russia's Gamaleya Institute publish data on their... controversial vaccine in @thelancet. Phase 1/2; 76 volunteers; no placebo arm. Vaccine was licensed based on this work.  https://t.co/LLShYucK6c,MA,2079,225280
1326359181813755904,MoNscience,Wed Nov 11 03:00:46 +0000 2020,en,Followers of this space might recall that I posed some serious questions yesterday about Pfizer's COVID-19 vaccine announcement.   Welp; @SarahE_Richards dug up the answers for @NatGeo   Let's dive in...  https://t.co/9AVXhAfRVO,,4467,13549
1337244117353508864,JoeBrunoWSOC9,Fri Dec 11 03:53:37 +0000 2020,en,Bishop who battled COVID-19 says he thought God would protect him from catching virus https://t.co/xCi5jaPZSl,NC,4017,48909
1382829830777958400,EricTopol,Thu Apr 15 22:54:58 +0000 2021,en,Risk of covid reinfection in a prospective study of &gt;3;000 Marine recruits Prior covid: 82% reduced compared w/ no prior covid (+ when reinfections occurred; much less viral loads) Protection correlated w/ higher spike IgG antibody levels https://t.co/7Jl154lwDX @LancetRespirMed https://t.co/xKVLKm8AA6,CA,556,686676
1395752514222530560,ghn_news,Fri May 21 14:45:05 +0000 2021,en,Tunisia has ended its 1-week lockdown; despite having Africa’s highest reported #COVID19 numbers: more than 320;000 infections and nearly 12;000 deaths.   https://t.co/adodFkb4yC,MD USA,2268,16655
1276140233822818304,CarlosdelRio7,Thu Jun 25 13:08:35 +0000 2020,en,The coronavirus surge is real; and it's everywhere https://t.co/yFpYqVA5Di. The US cases are up 30% and most of the country is seeing an increase in cases.  The vacuum of political leadership is simply unacceptable.,GA,1569,56698
1277053030916030464,CarlosdelRio7,Sun Jun 28 01:35:43 +0000 2020,en,See How All 50 States Are Reopening (and Closing Again) - The chaotic and disorderly way in which states relaxed restrictions has comes back to hurt us.  Infections are at an all time high and so will be hospitalization &amp; deaths.  Time to be thoughtful.  https://t.co/Bcn30FdqUw,GA,1569,56698
1319754824427057152,jeremyfaust,Fri Oct 23 21:37:24 +0000 2020,en,#FF = @Brief_19   Frontline docs telling you what all the latest COVID research and policy really means!  Subscribe for free for the daily email; too! https://t.co/4wRvUbQtSi   🙌,MA,2894,102053
1362438562449293312,trvrb,Thu Feb 18 16:27:20 +0000 2021,en,After a ~2 month plateau from mid-Nov to mid-Jan; the US #COVID19 epidemic has undergone a steady week after week decline and is now back to daily case counts last seen in late October. A thread on what we might expect going forwards. 1/13 https://t.co/M7vrdECUX2,WA,861,461545
1230144345287921664,NACCHOalerts,Wed Feb 19 14:57:21 +0000 2020,en,Public-health officials in the U.S. are striving to keep tabs on thousands of Americans who have quarantined themselves at home after returning from mainland China to contain the new coronavirus https://t.co/bouR70ZBLY via @WSJ,DC,3522,28576
1284947372544413696,EricTopol,Sun Jul 19 20:25:01 +0000 2020,en,Lobsters do it. House finches do it. Garden ants do it. Non-human primates do it. People; not so much. Physical distancing to avoid disease. @sciam by @HawleyDana and @Buckette84 https://t.co/kplzCsqxEX https://t.co/GHWwzcBrmi,CA,556,686676
1312458741275525120,brianstelter,Sat Oct 03 18:25:22 +0000 2020,en,&gt;&gt; @FWhitfield's question to me about the Trump covid timeline confusion: "Are they covering up" for the fact that Trump went to Bedminster for a fundraiser and "was in the space of so many people" while carrying the virus? https://t.co/YQJdgIubKk,New York City,7494,787191
1349424333328961536,meganranney,Wed Jan 13 18:33:26 +0000 2021,en,Interesting new paper showing an association between current use of proton pump inhibitors (like omeprazole &amp; pantoprazole) and bad #COVID19 (ICU; death).  A really neat observational study- but; as always; with some caveats:  https://t.co/IMKfeRUPHt,Providence RI,3364,114185
1375511049353326592,GovLarryHogan,Fri Mar 26 18:12:44 +0000 2021,en,Today I joined @MDDisabilities Secretary Carol Beatty to visit a COVID-19 vaccination clinic held by @thearcofpgc; a provider of comprehensive support services for Marylanders with intellectual and developmental disabilities. #GoVAXMaryland https://t.co/R1lY34J0oX,MD,704,255955
1248252762644574208,JoeBrunoWSOC9,Thu Apr 09 14:13:44 +0000 2020,en,Union County has announced the first death of a resident due to COVID-19. The person was in their 70s; was hospitalized and had underlying health conditions @wsoctv,NC,4017,48909
1277977665224376320,Surgeon_General,Tue Jun 30 14:49:53 +0000 2020,en,#DYK: If you have certain underlying medical conditions; you are at increased risk of severe illness from #COVID19; no matter your age.   Find tips to protect yourself: https://t.co/ecS5AlLIpw https://t.co/4cz4fGJWYs,DC,187,1127181
1341389515223527424,EricTopol,Tue Dec 22 14:25:56 +0000 2020,en,The Thanksgiving effect "Like a microspreader; more a tornado picking its spots than a hurricane blowing down everything in its path" https://t.co/j6TDAAx5ae @mannyNYT @LaurenLeatherby @Josh_H Note Southern California contact reduction https://t.co/hDFCFsoWDQ,CA,556,686676
1364087549111713792,ashishkjha,Tue Feb 23 05:39:49 +0000 2021,en,For 78 days in a row  the 7-day moving avg for number of daily deaths from COVID was above 2000  Over the weekend; it fell under 2;000 for first time in nearly 3 months  By next week; it'll be at 1500  And its falling a bit faster than I was expecting  Why?   Thread,MA,477,328771
1387941817593774080,DrLeanaWen,Fri Apr 30 01:28:10 +0000 2021,en,This is exactly the right kind of incentive. Require #covid19 #vaccinations for university students; in return; they get the pre-pandemic college experience (by fall; hopefully without masks; distancing; and other pandemic restrictions).  https://t.co/DELI7mCAZA,MD,5002,177524
1403204331227074560,jeremyfaust,Fri Jun 11 04:15:57 +0000 2021,en,That’s five shifts in a row without a single Covid patient!  Vaccines for the win. 💪🩹,MA,2894,102053
1326298604256948224,jeremyfaust,Tue Nov 10 23:00:03 +0000 2020,en,🦠A Third Wave Of Coronavirus Infections At The White House.   New post by @bhrenton tracks it for us in today’s @Brief_19   https://t.co/HCH25f2Q3G https://t.co/IoRCA3bIbm,MA,2894,102053
1370146251069591552,MoNscience,Thu Mar 11 22:54:56 +0000 2021,en,Two months ago; @karen_yi called me and said she had found overlooked trends among COVID-19 deaths in New Jersey's Latino communities.  Her stories launched yesterday for @WNYC/@Gothamist; and they're worth a look:  Pt. 1 https://t.co/DPqrFzPnZ3  Pt. 2 https://t.co/fVEfBq3lUT https://t.co/o395MoEmHj,,4467,13549
1292067127277555712,PeterHotez,Sat Aug 08 11:56:23 +0000 2020,en,American Deaths:   675;000: 1918-20 Flu Pandemic 400;000: WWII 400;000: #COVID19 by Jan 20 current "plan" 300;000: #COVID19 by Dec 1 - masks @IHME_UW  230;000: #COVID19 by Dec 1 +masks @IHME_UW  160;000-200;000 by Jan 20 @PeterHotez Oct 1 plan 160;000: #COVID19 Today 116;000: WWI,Houston TX,7216,334771
