tweetid,screen_name,date,lang,text,state,friends_count,followers_count
1220561238809305088,BusyDrT,Fri Jan 24 04:17:30 +0000 2020,en,Why does the #GatesFoundation continue to get a free pass from all of us?  I understand how they control the CDC &amp;… https://t.co/9QntPQE2A8,OH,70,15132
1220783735882362881,BusyDrT,Fri Jan 24 19:01:38 +0000 2020,en,Chemical warfare trucks spotted rushing towards coronavirus-infected Wuhan   What do you think they might actually… https://t.co/dFvOPPVaLX,OH,70,15186
1220794145624576003,RobertKennedyJr,Fri Jan 24 19:43:00 +0000 2020,en,Former billionaire + pharma exec John Kapoor sentenced to 5+ years. His sentencing is the culmination of a months-l… https://t.co/0dhgYvYNme,NY,527,71389
1220856903057592320,Patriot_Girl_TX,Fri Jan 24 23:52:22 +0000 2020,en,"China builds 1,000-bed coronavirus hospital in Wuhan at the epicenter of the outbreak  https://t.co/VXnypwDB0z",TX,5625,7280
1220869001229803520,VegGirlQ,Sat Jan 25 00:40:27 +0000 2020,en,"c'est la grosse panique. / Wuhan to build 1,000 bed hospital to treat coronavirus patients within s... https://t.co/DFMAMowc5D via @YouTube",,1078,1607
1221054778656071681,VegGirlQ,Sat Jan 25 12:58:39 +0000 2020,en,Calls for global ban on wild animal markets amid coronavirus outbreak | Coronavirus outbreak | The Guardian https://t.co/DMdR2BbSzW,,1078,1608.0
1221073606165377031,clubfmphilly,Sat Jan 25 14:13:28 +0000 2020,en,Have you heard ‘The Weekend | Soundtrack’ by clubfmphilly on #SoundCloud? #np #Dance #Electronic #PetShopBoys… https://t.co/4f3WrUbHYo,,387,496
1221550216572174338,Patriot_Girl_TX,Sun Jan 26 21:47:21 +0000 2020,en,"US registers fifth coronavirus case, Arizona health officials say  https://t.co/506ehHAeY6",TX,5625,7278
1221570082930860032,VegGirlQ,Sun Jan 26 23:06:18 +0000 2020,en,"Coronavirus: 100,000 may already be infected, experts warn https://t.co/56LcfBlCFV",,1082,1607
1221571939073961986,VegGirlQ,Sun Jan 26 23:13:40 +0000 2020,en,"Inside the horrific, inhumane animal markets behind pandemics like coronavirus https://t.co/EoES1uFbDT via @nypost",,1078,1609
1221662044723777537,Patriot_Girl_TX,Mon Jan 27 05:11:43 +0000 2020,en,Do surgical masks protect against coronavirus?  https://t.co/2yBaPfhG11,TX,5631,7268
1221765303727788033,VegGirlQ,Mon Jan 27 12:02:02 +0000 2020,en,"The Big Wobble : China Crisis: Impossible to contain: Actual number infected thought to be up to 200,000: Virus can… https://t.co/B6Kl2r1QJ0",,1078,1608.0
1221854409749123074,VegGirlQ,Mon Jan 27 17:56:06 +0000 2020,en,Coronavirus: 73 test negative in UK as China death toll hits 81 – live updates | China | The Guardian https://t.co/OP8MEMbTxO,,1082,1609
1221861555781824512,ajividen73,Mon Jan 27 18:24:30 +0000 2020,en,Center for Health Secu... https://t.co/RVug6s3wRb,,222,51
1222173681952198657,BusyDrT,Tue Jan 28 15:04:47 +0000 2020,en,#Japan confirms patient with #coronavirus did NOT visit #China   https://t.co/A9Arrk6NdY,OH,70,15262
1222380464092123136,languillem,Wed Jan 29 04:46:28 +0000 2020,en,"Coronavirus, fake ou pas fake ? https://t.co/8eixLXS8sr",,5492,5870
1222388688530956289,BusyDrT,Wed Jan 29 05:19:08 +0000 2020,en,Corona Virus Fakery And The Link To 5G Testing https://t.co/I9QYQwMBzC  #5G #EMF #Radiation #heavymetals… https://t.co/Iexorz5L0E,OH,70,15258
1222518255740489728,mercola,Wed Jan 29 13:54:00 +0000 2020,en,Coronavirus — The Latest Pandemic Scare https://t.co/f3jjC5E5tE,FL,30444,288466
1222615203013124102,VegGirlQ,Wed Jan 29 20:19:14 +0000 2020,en,"133  Coronavirus Toll: Cases &amp; Deaths by Country, Historical Data Chart - Worldometer https://t.co/VCoxLPAhgP",,1076,1609
1222621272271704064,VegGirlQ,Wed Jan 29 20:43:21 +0000 2020,en,UAE announces first case of killer Chinese coronavirus as death toll jumps to 133 https://t.co/CoRyfEXHfp,,1080,1607
1222645735428165633,ConjuredRundown,Wed Jan 29 22:20:33 +0000 2020,en,Wtf coronavirus  How spreading,,1204,166
