userid,label
HelenBranswell,pro-science
MoNscience,Pro-science
JoeBrunoWSOC9,Pro-science
EricTopol,pro-science
ghn_news,pro-science
CarlosdelRio7,pro-science
jeremyfaust,pro-science
trvrb,pro-science
NACCHOalerts,pro-science
brianstelter,pro-science
meganranney,pro-science
GovLarryHogan,pro-science
Surgeon_General,pro-science
ashishkjha,pro-science
DrLeanaWen,pro-science
PeterHotez,Pro-science
rwang0,pro-science
devisridhar,pro-science
michaelmina_lab,pro-science
ScottGottliebMD,pro-science
Craig_A_Spencer,pro-science
tmprowell,pro-science
KrutikaKuppalli,pro-science
CDCDirector,pro-science
drlucymcbride,pro-science
k_stephensonMD,pro-science
Bob_Wachter,pro-science
nicholas_bagley,pro-science
DrJaimeFriedman,pro-science
luckytran,pro-science
DBelardoMD,pro-science
DKThomp,pro-science
JenniferNuzzo,pro-science
ProfEmilyOster,pro-science
DrRobertGlatter,pro-science
binajv,Unsure
dremilyportermd,pro-science
NateSilver538,pro-science
chrissyfarr,pro-science
JohnJHarwood,unsure
DemFromCT,Pro-science
mlipsitch,pro-science
nataliexdean,pro-science
LauraSanthanam,pro-science
skathire,pro-science
aetiology,pro-science
laurahelmuth,pro-science
jljcolorado,pro-science
