userid,label
BusyDrT,pro-science
RobertKennedyJr,Pro-science
Patriot_Girl_TX,Anti-science
VegGirlQ,unsure
clubfmphilly,unsure
ajividen73,pro-science
languillem,Pro-science
mercola,pro-science
ConjuredRundown,unsure
MomFluffyz,unsure
colinjarrett587,Pro-Science
jeffreymadwisc,pro-science
quingem,anti-science
VgnNutrition46,Pro-science
CordeiroRick,pro-science
Holly02375824,anti-science
TruthTeam101,pro-science
ssr57,pro-science
MsAnuJohanna,Pro-science
miraforeman,pro-science
carla_chatman,pro-science
seb293,pro-science
Truth_Seeker71,pro-science
werocktheplanet,anti-science
susananderton5,Pro-science
micharu333,anti-science
ronthorp,anti-science
Stach83092936,unsure
Sorothavy,pro-science
AmbermireG,pro-science
CaligirlLeftie,unsure
2021Freedom1776,pro-science
conscious_bkr,pro-science
nicole1916_eire,pro-science
antokindness,pro-science
MichellePoulte6,Anti-science
Lilymackay19,anti-science
KatieJ04560306,Pro-science
Cjk857,anti-science
Ay5e1,Anti-science
kathyfisher10,Unsure
