userid,label
1002229791792291840,Anti-Science
1002761717296721922,Pro-Science
100456342,Pro-Science
1004812133404569600,Pro-Science
1004819722716762115,Anti-Science
1005094432620806144,Pro-Science
1006996785166835712,Pro-Science
1008883579215065088,Anti-Science
1008955495,Pro-Science
1009200701422145542,Anti-Science
1009322794268741632,Anti-Science
100984043,Anti-Science
1010394889077624832,Anti-Science
1011014014359531521,Anti-Science
1011834941896704001,Pro-Science
1013515226,Pro-Science
1013705742,Pro-Science
1019042949370241025,Anti-Science
1020425318941614080,Pro-Science
1022751332124438536,Pro-Science
102280060,Anti-Science
1022823080803151876,Anti-Science
1024056365625630721,Pro-Science
1025222902939930624,Pro-Science
1025905171300270080,Pro-Science
1026496603820093440,Pro-Science
1027327882710929408,Pro-Science
1028420753396359168,Pro-Science
102843684,Anti-Science
1030208932650741760,Anti-Science
1030515422603276289,Pro-Science
1036494331,Anti-Science
1037196295365173249,Pro-Science
1037539264366604288,Anti-Science
1039310647161438209,Anti-Science
1044632821321662464,Pro-Science
1044636813770543106,Pro-Science
1044654454019158017,Anti-Science
1047,Pro-Science
1047185078286278656,Anti-Science
1047552341094924288,Pro-Science
1047639508462854145,Pro-Science
1049450221,Anti-Science
1049917602099855365,Anti-Science
1051865481156718592,Anti-Science
1053413064,Pro-Science
1053484702001061888,Anti-Science
1054554731094261760,Anti-Science
105547319,Anti-Science
105941944,Pro-Science
1061352523032752129,Anti-Science
1062921526146748417,Anti-Science
1063518782017150979,Anti-Science
1064040181,Pro-Science
1064966137325092864,Pro-Science
1069803509229477888,Pro-Science
1072244621596598277,Pro-Science
1072992168623648770,Anti-Science
1075885315032784898,Pro-Science
1076501171546710016,Anti-Science
1077060823242207233,Anti-Science
107828973,Pro-Science
108054084,Anti-Science
1080562003117109250,Anti-Science
1081304273873522693,Pro-Science
1081359272938823690,Anti-Science
108165168,Anti-Science
1082182516205936640,Anti-Science
10834532,Pro-Science
108401622,Anti-Science
108638428,Anti-Science
108659342,Anti-Science
1086643167200530433,Pro-Science
1086979645520662530,Pro-Science
1088314637915893760,Pro-Science
1088851911363710977,Anti-Science
1089200600,Anti-Science
108995634,Pro-Science
1090112559833731072,Pro-Science
1090365182767976448,Pro-Science
1090747955576037378,Anti-Science
1091142382135869440,Pro-Science
1091366359072718848,Anti-Science
1092278501455982592,Anti-Science
1092588834070646784,Anti-Science
1093181341590605825,Anti-Science
1095406446001369088,Pro-Science
1095512159922995200,Anti-Science
1096553878433210368,Anti-Science
1098380554498646018,Anti-Science
1098631404647337984,Pro-Science
1099884526065586176,Pro-Science
1100033633459621888,Pro-Science
1100955854063337478,Anti-Science
1105848017251266561,Pro-Science
1105954969767870464,Pro-Science
1107621211406823426,Pro-Science
1107647684612186112,Anti-Science
110910620,Pro-Science
11105782,Pro-Science
1113178458669150208,Anti-Science
1115598216,Anti-Science
111604193,Pro-Science
1116294107138228224,Pro-Science
1116360892394790912,Anti-Science
1121939824674525184,Anti-Science
1122636619058515968,Anti-Science
1123319687755042821,Anti-Science
1123715053256159234,Pro-Science
1123969958,Pro-Science
1124814878110208003,Anti-Science
1125034591935447041,Anti-Science
1125077136727875585,Anti-Science
1125092273186848770,Anti-Science
1127929438749036544,Anti-Science
1127974547410518019,Anti-Science
1129628862,Pro-Science
113142138,Anti-Science
1132357454,Anti-Science
1134833820748980230,Anti-Science
1136457958911594496,Pro-Science
113797363,Anti-Science
1138246281552388096,Anti-Science
1140131235144056832,Anti-Science
1140796934594191366,Pro-Science
1141028818259501056,Anti-Science
1142267123357626369,Anti-Science
1145139165081661442,Pro-Science
1146199176,Pro-Science
114623049,Pro-Science
1146516750751584256,Anti-Science
1146645032,Pro-Science
1148699745814294528,Pro-Science
1151145149789024258,Pro-Science
1151563018179887106,Pro-Science
115185441,Anti-Science
11519802,Anti-Science
1154212873960189952,Pro-Science
1155028647608061953,Pro-Science
1156404772636889090,Pro-Science
1157002163119222784,Anti-Science
1157401661041778690,Anti-Science
1157684084656812034,Pro-Science
1157781322024116224,Anti-Science
1157910914047209472,Pro-Science
1159182433729810432,Anti-Science
1159192818767634433,Anti-Science
1162504326486614017,Anti-Science
1162753706346999808,Pro-Science
