,id,text
0,1401284588387831808,Trying to rewrite history by focusing on virus’s origin appears to be an attempt to distract from the chief failure of the Trump administration — its uneven and chaotic response to the outbreak once it began spreading within the U.S. @mviser @yabutaleb7 https://t.co/5ybZaVbybs
1,1364779863996039168,Leadership in the pandemic hasnt come from elected officials and spiritual guides but from a group that is underpaid overworked and considered secondary even in their own workplaces. Incredibly moving piece from @AStocktonFilms and @King__Lucy. https://t.co/lDGSCp4xBn
2,1364919544817541120,In the debates about COVID in schools it seems that a HUGE part of the CDC message has been lost: that school safety is dependent on community risk. 🧵/9 https://t.co/t6AeMLxktR
3,1365030533206577152,Hertel asked why department quietly extended the epidemic order through March 29 says it wanted to give some certainty re: contact sports. The orders are online. It certainly wasnt hidden. (The administration did not announce date in news release.)
4,1401394274407755776,It appears to be an attempt to distract from the chief failure of the Trump administration — its uneven and chaotic response to the outbreak once it began spreading within the United States... https://t.co/1Xs9f8mj0x
5,1328508247150522368,Once hailed for not requiring restrictions on gatherings mandatory mask use and other measures to limit activities the reality of COVID-19 has caught up with Sweden. https://t.co/QI6F9cUimG
6,1328736869509697536,One of the most unexpectedly frustrating parts of lockdown is how hard it is to return things
7,1328748318625726464,Are We Seriously Talking About Closing Schools Again? https://t.co/MgXgYtk3Ej via @aaronecarroll Agree 100%. Prioritize closing bars and cancelling large athletic and other public events. #COVID19
8,1328831226887729152,&gt; @NBCNews confirms WH COVID task force report which states: .. aggressive unrelenting expanding broad community spread across the country reaching most counties without evidence of improvement but rather further deterioration. Current mitigation efforts are inadequate.. https://t.co/2hBwqNR4Jd
9,1328837342531031040,CDC’s Advisory Committee on Immunization Practices schedules a meeting Nov 23 (per FactSet flag below). Federal register notice says no recommendation vote is scheduled for #covid19 vaccines though draft agenda has space for vaccine manufacturer. https://t.co/gZvUn3rU1m
10,1292310107875762176,Bill Gates Is Not Making a Mind-Altering Vaccine in spite of conspiracy theorists claims. https://t.co/uBuboKMAHX via @AboutPediatrics #covid19 #vaccines
11,1292317639839285248,The lack of a national strategy is and has always been the biggest obstacle to effective #coronavirus testing says @omaigarner @UCLAHealth. Shortages and accuracy issues need to be resolved urgently. #coronavirus https://t.co/MEDGFokkWM
12,1292468583948222464,Many of these families reached out urging the organization not to cancel its overnight programs officials from the YMCA of Metropolitan Atlanta wrote in a statement...This weighed heavily on our decision to open a decision in retrospect we now regret https://t.co/nRhiRUDzH9
13,1292471699636723712,A possible consequence of a poorly targeted expansive government stimulus package?  Rachel Greszler tells @RebeccaARainey if you continue excessively high payments then you end up just trading a global health pandemic for a fiscal crisis https://t.co/hk6e5gYXnE
14,1292587375499988992,Retailers force stressed-out workers to be COVID-19 mask police refuse to hire trained security guards &amp; let customers off the hook. ⁦@RonWLATimes⁩ ⁦@hugomartin⁩ https://t.co/CHTGOTuxw0
15,1292589283300212736,GOP Sen. Ben Sasse: The executive actions on #COVID19 are unconstitutional slop. A former FDA commissioner predicts #coronavirus deaths under Trump will be between 200000 and 300000 by years end. https://t.co/3UTEUHSO6I
16,1365308911805489152,The worst of the pandemic may be behind Americans. But many scientists predict a fourth wave in the coming weeks if the U.S. attempts to reopen too quickly.  https://t.co/wPqzb8foyR dealbook
17,1365375216583639040,Cases of #covid19 have been ticking higher nationally for the past four days. Here are the states (from ⁦@COVID19Tracking⁩) seeing increases in case numbers vs previous week: RI +36% CT +34% LA +32% WY +22% MI +19% KY +15% https://t.co/YRwSkGakEJ
18,1257753955234385920,A government scientist was ousted after the Trump administration ignored his dire warnings about COVID-19 and a malaria drug Trump was pushing for the coronavirus despite scant evidence it helped according to a whistleblower complaint Tuesday. https://t.co/KhSmf0aI1r
19,1258008390615392256,A powerful illustration of why its not good to allow the government to control who says what in universities. Here it seems authorities in Arizona want a group of scientists to stop working on COVID19 models they find inconvenient. https://t.co/vgWEyKH1dn h/t @epopppp
20,1258077282406547456,NEW: Are employers still going to shell out for health tech benefits in *this* economy? For @statnews I mapped out the bear and bull cases for the strategy of relying on the employer market amid record unemployment https://t.co/nPQUAKAxsp
21,1365474754111680512,What’s broken here? If the FDA authorizes the J&amp;J vax THEN it goes to the CDC to decide whether the vaccine should actually be given to Americans. ?!? Take your time... and why not have the NIH Big Bird and the DMV sign off on it as well? https://t.co/R6UbOXwWEy
22,1365484651469537280,With oil prices back at pre-pandemic levels its not even clear states like Alaska and Texas - which lost gobs of revenue in the pandemic - will need that much in additional federal aid. https://t.co/wP7pfkXHBh
23,1365772244887220224,Federal Scientists Plead for Pandemic Controls as Infection Declines Stall Now is not the time to relax restrictions the CDC director said pointing to a leveling of coronavirus infections as governors move to lift pandemic restrictions. https://t.co/g3tQSUP9d0
24,1258353926413271040,MyPOV: Mall reopens as rural CA counties defy Governors virus order https://t.co/Ei2q31GVb1 via @avpressnews #covid91 #coronavirus #publichealth #freedom
